lemma,pos,other_verified_pos,verified_by,oxford_levels_same_pos,oxford_entry,octanove_level,cefrj_level,disagreement,corpus,efllex_word,efllex_pos,efllex_match,efllex_a1,efllex_a2,efllex_b1,efllex_b2,efllex_c1,efllex_total,efllex_nb_doc,efllex_first_level,efllex_b2c1_share,zipf
characterization,noun,,octanove,,,C1,,,efllex,characterization,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.53
characterize,verb,,oxford5000,c1,characterize,,B1,cefrj:B1,efllex,characterize,verb,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.32
charm,noun,,oxford5000,c1,charm_1,,B1,cefrj:B1,efllex,charm,noun,lemma+pos,0.0,0.0,0.0,11.8747,3.8421,4.6574,9,B2,1.0,4.12
charter,noun,,oxford5000,c1,charter_1,C1,,,wordfreq,,,,,,,,,,,,,4.23
chronic,adjective,,oxford5000,c1,chronic,,,,efllex,chronic,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.2
chunk,noun,,oxford5000,c1,chunk,,B2,cefrj:B2,efllex,chunk,noun,lemma+pos,0.0,0.0,1.3622,0.0,0.8152,0.7381,2,B1,0.374,3.64
churn,verb,,octanove,,,C1,,,efllex,churn,verb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.07
circulate,verb,,oxford5000,c1,circulate,C1,,,efllex,circulate,verb,lemma+pos,0.0,0.0,0.0,0.0,4.6544,0.7357,2,C1,1.0,3.17
circulation,noun,,oxford5000,c1,circulation,C1,,,efllex,circulation,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.96
citizenship,noun,,oxford5000,c1,citizenship,,B1,cefrj:B1,efllex,citizenship,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.1
civic,adjective,,oxford5000,c1,civic,,,,efllex,civic,adjective,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,4.0
civilian,adjective,noun,oxford5000,c1,civilian_2,,,,wordfreq,,,,,,,,,,,,,4.23
clan,noun,,octanove,,,C1,,,efllex,clan,noun,lemma+pos,0.0,0.0,0.0,3.1541,0.0,0.4505,2,B2,1.0,3.97
clarity,noun,,oxford5000,c1,clarity,,,,wordfreq,,,,,,,,,,,,,3.9
clash,noun,,oxford5000,c1,clash_1,,,,efllex,clash,noun,lemma+pos,0.0,0.0,1.3622,0.0,2.4455,1.767,3,B1,0.642,3.97
classification,noun,,oxford5000,c1,classification,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.18
claustrophobic,adjective,,octanove,,,C1,,,efllex,claustrophobic,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,2.85
cling,verb,,oxford5000,c1,cling,,,,wordfreq,,,,,,,,,,,,,3.49
clinical,adjective,,oxford5000,c1,clinical,C1,,,efllex,clinical,adjective,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,4.51
closure,noun,,oxford5000,c1,closure,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.11
cluster,noun,,oxford5000,c1,cluster_1,,,,wordfreq,,,,,,,,,,,,,3.99
coalition,noun,,oxford5000,c1,coalition,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.23
coastal,adjective,,oxford5000,c1,coastal,,B1,cefrj:B1,efllex,coastal,adjective,lemma+pos,0.0,0.0,0.0,2.8882,3.1517,2.2318,4,B2,1.0,4.19
cognitive,adjective,,oxford5000,c1,cognitive,C2,,,wordfreq,,,,,,,,,,,,,4.11
coincide,verb,,oxford5000,c1,coincide,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.49
collaborate,verb,,oxford5000,c1,collaborate,C1,,,efllex,collaborate,verb,lemma+pos,0.0,0.0,0.0,3.619,0.0,0.7357,2,B2,1.0,3.51
collaboration,noun,,oxford5000,c1,collaboration,C1,,,efllex,collaboration,noun,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,4.28
collective,adjective,,oxford5000,c1,collective_1,,,,efllex,collective,adjective,lemma+pos,0.0,0.0,0.0,0.3154,4.6544,1.4218,3,B2,1.0,4.3
collision,noun,,oxford5000,c1,collision,,,,wordfreq,,,,,,,,,,,,,3.95
colonial,adjective,,oxford5000,c1,colonial_1,,B2,cefrj:B2,efllex,colonial,adjective,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,4.17
columnist,noun,,oxford5000,c1,columnist,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,3.58
combat,verb,noun,oxford5000,c1,combat_2,,,,efllex,combat,verb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.56
commence,verb,,oxford5000,c1,commence,,,,wordfreq,,,,,,,,,,,,,3.59
commentary,noun,,oxford5000,c1,commentary,,,,efllex,commentary,noun,lemma+pos,0.0,0.0,0.0,0.0,1.6303,0.4535,2,C1,1.0,4.19
commentator,noun,,oxford5000,c1,commentator,,,,wordfreq,,,,,,,,,,,,,3.67
commerce,noun,,oxford5000,c1,commerce,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.37
commissioner,noun,,oxford5000,c1,commissioner,,,,wordfreq,,,,,,,,,,,,,4.43
commodity,noun,,oxford5000,c1,commodity,C2,,,efllex,commodity,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.86
communist,adjective,,oxford5000,c1,communist_1,,,,wordfreq,,,,,,,,,,,,,4.32
companion,noun,,oxford5000,c1,companion,,B1,cefrj:B1,efllex,companion,noun,lemma+pos,0.0,0.0,1.6375,0.6749,19.4011,4.6791,8,B1,0.925,4.13
comparable,adjective,,oxford5000,c1,comparable,,,,efllex,comparable,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.08
compassion,noun,,oxford5000,c1,compassion,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.95
compel,verb,,oxford5000,c1,compel,C1,,,wordfreq,,,,,,,,,,,,,3.28
compelling,adjective,,oxford5000,c1,compelling,,,,efllex,compelling,adjective,lemma+pos,0.0,0.0,0.0,0.0,6.9854,1.2795,3,C1,1.0,3.98
compensate,verb,,oxford5000,c1,compensate,,B2,cefrj:B2,efllex,compensate,verb,lemma+pos,0.0,0.0,0.0,0.8294,0.6091,0.7357,2,B2,1.0,3.78
compensation,noun,,oxford5000,c1,compensation,,B2,cefrj:B2,efllex,compensation,noun,lemma+pos,0.0,0.887,0.0,11.1039,3.373,5.1058,7,A2,0.942,4.33
competence,noun,,oxford5000,c1,competence,,B2,cefrj:B2,efllex,competence,noun,lemma+pos,0.0,0.0,1.3622,0.0,0.0,0.0812,1,B1,0.0,3.58
competent,adjective,,oxford5000,c1,competent,,B2,cefrj:B2,efllex,competent,adjective,lemma+pos,0.0,0.0,0.0,0.1311,0.0,0.0314,1,B2,1.0,3.92
compile,verb,,oxford5000,c1,compile,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.38
complement,verb,,oxford5000,c1,complement_1,,,,wordfreq,,,,,,,,,,,,,3.77
complexity,noun,,oxford5000,c1,complexity,C1,B2,cefrj:B2,efllex,complexity,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.02
compliance,noun,,oxford5000,c1,compliance,C1,,,wordfreq,,,,,,,,,,,,,4.17
complication,noun,,oxford5000,c1,complication,,,,efllex,complication,noun,lemma+pos,0.0,0.0,0.0,0.6524,0.9605,0.6712,2,B2,1.0,3.31
complimentary,adjective,,octanove,,,C1,,,efllex,complimentary,adjective,lemma+pos,0.0,0.0,0.0,1.6588,0.0,0.4535,1,B2,1.0,3.35
comply,verb,,oxford5000,c1,comply,C1,,,efllex,comply,verb,lemma+pos,0.0,0.0,0.0,0.2622,0.0,0.0629,2,B2,1.0,4.04
composition,noun,,oxford5000,c1,composition,,B1,cefrj:B1,efllex,composition,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,4.33
compromise,verb,noun,oxford5000,c1,compromise_2,,B2,cefrj:B2,efllex,compromise,verb,lemma+pos,0.0,0.0,0.0,0.8294,0.6091,0.7357,2,B2,1.0,4.15
compute,verb,,oxford5000,c1,compute,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.41
conceal,verb,,oxford5000,c1,conceal,,B2,cefrj:B2,efllex,conceal,verb,lemma+pos,0.0,0.0,0.0,0.0,0.3118,0.0629,2,C1,1.0,3.52
concede,verb,,oxford5000,c1,concede,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.48
conceive,verb,,oxford5000,c1,conceive,C1,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.4
conception,noun,,oxford5000,c1,conception,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.75
concession,noun,,oxford5000,c1,concession,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.57
condemn,verb,,oxford5000,c1,condemn,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.72
condition,verb,,octanove,,,C1,,,efllex,condition,verb,lemma+pos,2.9398,0.0,0.0,0.0,18.5459,2.8645,8,A1,0.863,4.86
confer,verb,,oxford5000,c1,confer,,,,efllex,confer,verb,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,3.19
confession,noun,,oxford5000,c1,confession,,B2,cefrj:B2,efllex,confession,noun,lemma+pos,0.0,0.0,0.0,0.0,0.9086,0.0678,1,C1,1.0,3.88
configuration,noun,,oxford5000,c1,configuration,,,,wordfreq,,,,,,,,,,,,,3.97
confine,verb,,oxford5000,c1,confine,,B2,cefrj:B2,efllex,confine,verb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,2.92
confirmation,noun,,oxford5000,c1,confirmation,,B1,cefrj:B1,efllex,confirmation,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,4.08
conform,verb,,octanove,,,C1,,,efllex,conform,verb,lemma+pos,0.0,0.0,0.0,0.0,4.6544,0.7357,2,C1,1.0,3.53
confront,verb,,oxford5000,c1,confront,,B2,cefrj:B2,efllex,confront,verb,lemma+pos,0.0,0.0,1.3622,0.0,0.8152,0.7381,2,B1,0.374,3.8
confrontation,noun,,oxford5000,c1,confrontation,,,,efllex,confrontation,noun,lemma+pos,0.0,0.0,0.0,0.1311,0.0,0.0314,1,B2,1.0,3.72
congratulate,verb,,oxford5000,c1,congratulate,,B1,cefrj:B1,efllex,congratulate,verb,lemma+pos,0.0,0.0,2.5892,0.0,0.9357,0.6969,2,B1,0.265,3.59
congregation,noun,,oxford5000,c1,congregation,,,,wordfreq,,,,,,,,,,,,,3.82
conjure,verb,,octanove,,,C1,,,efllex,conjure,verb,lemma+pos,0.0,0.0,0.0,1.3498,0.0,0.1147,2,B2,1.0,3.1
conquer,verb,,oxford5000,c1,conquer,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,3.77
conscience,noun,,oxford5000,c1,conscience,,B2,cefrj:B2,efllex,conscience,noun,lemma+pos,0.0,0.0,0.0,0.0,0.9357,0.0698,1,C1,1.0,3.96
conscientious,adjective,,octanove,,,C1,,,efllex,conscientious,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.24
consciousness,noun,,oxford5000,c1,consciousness,,B2,cefrj:B2,efllex,consciousness,noun,lemma+pos,0.0,0.0,0.0,4.9047,13.4531,4.8537,6,B2,1.0,4.13
consecutive,adjective,,oxford5000,c1,consecutive,,,,efllex,consecutive,adjective,lemma+pos,0.0,0.0,2.5892,0.1311,0.0,0.58,2,B1,0.048,4.18
consensus,noun,,oxford5000,c1,consensus,,B2,cefrj:B2,efllex,consensus,noun,lemma+pos,0.0,0.0,0.0,1.6588,0.6091,1.2795,2,B2,1.0,4.1
consent,noun,verb,oxford5000,c1,consent_1,,B2,cefrj:B2,efllex,consent,noun,lemma+pos,0.0,0.0,0.0,4.0091,0.0,0.6624,2,B2,1.0,4.36
conserve,verb,,oxford5000,c1,conserve_1,C1,,,efllex,conserve,verb,lemma+pos,0.0,0.0,0.0,2.732,0.1804,1.9629,3,B2,1.0,3.37
consistency,noun,,oxford5000,c1,consistency,,,,efllex,consistency,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.99
consolidate,verb,,oxford5000,c1,consolidate,,,,efllex,consolidate,verb,lemma+pos,0.0,0.0,0.0,0.1311,0.0,0.0314,1,B2,1.0,3.47
constituency,noun,,oxford5000,c1,constituency,,,,wordfreq,,,,,,,,,,,,,3.69
constitute,verb,,oxford5000,c1,constitute,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,3.85
constitution,noun,,oxford5000,c1,constitution,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,4.56
constitutional,adjective,,oxford5000,c1,constitutional_2,,,,efllex,constitutional,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.33
constraint,noun,,oxford5000,c1,constraint,C1,,,efllex,constraint,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.28
consultation,noun,,oxford5000,c1,consultation,C1,,,wordfreq,,,,,,,,,,,,,4.02
contemplate,verb,,oxford5000,c1,contemplate,,,,efllex,contemplate,verb,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.41
contempt,noun,,oxford5000,c1,contempt,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.74
contend,verb,,oxford5000,c1,contend,,,,efllex,contend,verb,lemma+pos,0.0,0.0,0.0,0.0,4.6544,0.7357,2,C1,1.0,3.56
contender,noun,,oxford5000,c1,contender,,,,efllex,contender,noun,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.6
contention,noun,,oxford5000,c1,contention,,,,wordfreq,,,,,,,,,,,,,3.73
continually,adverb,,oxford5000,c1,continually,,B1,cefrj:B1,efllex,continually,adverb,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.91
contractor,noun,,oxford5000,c1,contractor,C1,,,efllex,contractor,noun,lemma+pos,0.0,0.0,0.0,0.1012,0.0,0.0812,1,B2,1.0,4.08
contradiction,noun,,oxford5000,c1,contradiction,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.45
contrary,adjective,noun,oxford5000,c1,,,B1,cefrj:B1,efllex,contrary,adjective,lemma+pos,0.0,0.0,0.0,0.0,4.6544,0.7357,2,C1,1.0,4.17
contributor,noun,,oxford5000,c1,contributor,,,,efllex,contributor,noun,lemma+pos,0.0,0.0,1.3622,0.0,0.0,0.0812,1,B1,0.0,3.72
conversion,noun,,oxford5000,c1,conversion,,B2,cefrj:B2,efllex,conversion,noun,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,4.24
convict,verb,,oxford5000,c1,convict_1,C1,,,efllex,convict,verb,lemma+pos,0.0,0.0,1.3622,0.6749,0.6091,1.503,3,B1,0.485,3.56
conviction,noun,,oxford5000,c1,conviction,C1,,,wordfreq,,,,,,,,,,,,,4.14
cooperate,verb,,oxford5000,c1,cooperate,,B2,cefrj:B2,efllex,cooperate,verb,lemma+pos,0.0,0.0,0.0,0.4103,0.0,0.0803,1,B2,1.0,3.79
cooperative,adjective,,oxford5000,c1,cooperative_1,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.86
coordinate,verb,,oxford5000,c1,coordinate_1,,,,efllex,coordinate,verb,lemma+pos,0.0,0.0,0.0,2.499,0.8152,1.0669,3,B2,1.0,3.82
coordination,noun,,oxford5000,c1,coordination,,,,wordfreq,,,,,,,,,,,,,3.9
coordinator,noun,,oxford5000,c1,coordinator,,,,wordfreq,,,,,,,,,,,,,3.91
copper,noun,,oxford5000,c1,copper,,B2,cefrj:B2,efllex,copper,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.27
copyright,noun,,oxford5000,c1,copyright_1,,B1,cefrj:B1,efllex,copyright,noun,lemma+pos,0.0,0.0,0.0,0.0,1.6303,0.4535,1,C1,1.0,4.24
correction,noun,,oxford5000,c1,correction_1,,B1,cefrj:B1,efllex,correction,noun,lemma+pos,0.0,0.0,0.0,0.0,1.0665,0.0796,1,C1,1.0,3.95
correlate,verb,,oxford5000,c1,correlate_1,C2,,,wordfreq,,,,,,,,,,,,,3.2
correlation,noun,,oxford5000,c1,correlation,C2,,,wordfreq,,,,,,,,,,,,,3.86
correspond,verb,,oxford5000,c1,correspond,,B2,cefrj:B2,efllex,correspond,verb,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.5
correspondence,noun,,oxford5000,c1,correspondence,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.85
correspondent,noun,,oxford5000,c1,correspondent,,B2,cefrj:B2,efllex,correspondent,noun,lemma+pos,0.0,0.0,0.0,0.4103,0.6091,0.1606,2,B2,1.0,3.86
corresponding,adjective,,oxford5000,c1,corresponding,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.13
corrupt,adjective,,oxford5000,c1,corrupt_1,,B2,cefrj:B2,efllex,corrupt,adjective,lemma+pos,0.0,0.0,0.0,0.0,4.6544,0.7357,2,C1,1.0,4.14
corruption,noun,,oxford5000,c1,corruption,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.35
costly,adjective,,oxford5000,c1,costly,,B2,cefrj:B2,efllex,costly,adjective,lemma+pos,0.0,0.0,0.0,0.1311,8.4279,1.6008,4,B2,1.0,3.93
councillor,noun,,oxford5000,c1,councillor,,,,efllex,councillor,noun,lemma+pos,0.0,0.0,0.0,0.1311,0.0,0.0314,1,B2,1.0,3.69
counselling,noun,,oxford5000,c1,counselling,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,3.45
counsellor,noun,,oxford5000,c1,counsellor,,,,efllex,counsellor,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.32
counter,verb,,oxford5000,c1,counter_2,,B1,cefrj:B1,efllex,counter,noun,lemma,0.0,0.0,0.0,19.644,3.2606,5.5159,8,B2,1.0,4.56
counterpart,noun,,oxford5000,c1,counterpart,,,,efllex,counterpart,noun,lemma+pos,0.0,0.0,0.0,2.9086,0.8152,1.341,3,B2,1.0,3.7
countless,adjective,,oxford5000,c1,countless,,B1,cefrj:B1,efllex,countless,adjective,lemma+pos,0.0,0.0,0.0,0.7308,15.7565,3.6532,6,B2,1.0,3.96
coup,noun,,oxford5000,c1,coup,,,,wordfreq,,,,,,,,,,,,,4.0
courtesy,noun,,oxford5000,c1,courtesy_1,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,4.13
craft,verb,,oxford5000,c1,craft_2,C1,,,efllex,craft,verb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,4.3
crawl,verb,,oxford5000,c1,crawl_1,,B2,cefrj:B2,efllex,crawl,verb,lemma+pos,0.0,0.0,0.0,21.8258,29.8197,12.0318,18,B2,1.0,3.77
creator,noun,,oxford5000,c1,creator,,B1,cefrj:B1,efllex,creator,noun,lemma+pos,0.0,0.0,0.0,4.0004,0.8152,1.222,3,B2,1.0,4.21
credibility,noun,,oxford5000,c1,credibility,C1,,,wordfreq,,,,,,,,,,,,,3.88
credible,adjective,,oxford5000,c1,credible,C1,,,efllex,credible,adjective,lemma+pos,0.0,0.0,0.0,0.0,1.6303,0.4535,1,C1,1.0,3.77
creep,verb,,oxford5000,c1,creep_1,,,,efllex,creep,verb,lemma+pos,0.0,0.0,0.0,0.6749,15.4338,3.632,6,B2,1.0,3.84
critique,noun,,oxford5000,c1,critique_1,,,,efllex,critique,noun,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.83
crude,adjective,,oxford5000,c1,crude_1,C1,,,wordfreq,,,,,,,,,,,,,4.0
crumble,verb,,octanove,,,C1,,,efllex,crumble,verb,lemma+pos,0.0,0.0,0.0,0.0,3.9648,0.6236,2,C1,1.0,3.29
crush,verb,,oxford5000,c1,crush_1,,,,efllex,crush,verb,lemma+pos,0.0,0.0,0.0,0.8294,7.1091,1.7991,4,B2,1.0,4.17
crystal,noun,,oxford5000,c1,crystal,,,,efllex,crystal,noun,lemma+pos,0.0,0.0,0.0,4.1469,0.0,1.1339,1,B2,1.0,4.4
cult,adjective,noun,oxford5000,c1,cult_2,,,,wordfreq,,,,,,,,,,,,,4.09
cultivate,verb,,oxford5000,c1,cultivate,,B1,cefrj:B1,efllex,cultivate,verb,lemma+pos,0.0,0.0,0.0,0.1311,0.0,0.0314,1,B2,1.0,3.42
curiosity,noun,,oxford5000,c1,curiosity,,B1,cefrj:B1,efllex,curiosity,noun,lemma+pos,0.0,0.0,1.3622,8.2243,4.9109,4.352,6,B1,0.906,3.97
custody,noun,,oxford5000,c1,custody,,,,efllex,custody,noun,lemma+pos,0.0,0.0,6.4485,0.0,0.1559,1.2874,3,B1,0.024,4.22
cutting,noun,,oxford5000,c1,cutting_1,,,,wordfreq,,,,,,,,,,,,,4.61
cynical,adjective,,oxford5000,c1,cynical,C1,,,wordfreq,,,,,,,,,,,,,3.59
damaging,adjective,,oxford5000,c1,damaging,,,,efllex,damaging,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.91
dawn,noun,,oxford5000,c1,dawn_1,,B2,cefrj:B2,efllex,dawn,noun,lemma+pos,0.9027,0.2879,0.0,16.3679,19.2243,14.1666,17,A1,0.968,4.27
daydream,verb,noun,octanove,,,C1,,,efllex,daydream,verb,lemma+pos,0.0,0.0,0.0,2.6198,0.9357,1.5252,3,B2,1.0,2.98
debris,noun,,oxford5000,c1,debris,,B1,cefrj:B1,efllex,debris,noun,lemma+pos,0.0,0.0,0.0,0.0,1.2183,0.1606,2,C1,1.0,3.92
debut,noun,,oxford5000,c1,debut_1,C1,,,wordfreq,,,,,,,,,,,,,4.52
deceit,noun,,octanove,,,C1,,,efllex,deceit,noun,lemma+pos,0.0,0.0,0.0,0.5926,0.0,0.0504,1,B2,1.0,3.24
decision-making,noun,,oxford5000,c1,decision-making,,,,wordfreq,,,,,,,,,,,,,4.96
decisive,adjective,,oxford5000,c1,decisive,,B2,cefrj:B2,efllex,decisive,adjective,lemma+pos,0.0,0.0,1.3622,0.0,0.0,0.0812,1,B1,0.0,3.8
declaration,noun,,oxford5000,c1,declaration,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,4.1
dedicated,adjective,,oxford5000,c1,dedicated,,,,efllex,dedicated,adjective,lemma+pos,0.0,0.0,0.0,0.1311,0.6091,0.5862,2,B2,1.0,4.58
dedication,noun,,oxford5000,c1,dedication,,B2,cefrj:B2,efllex,dedication,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.96
deed,noun,,oxford5000,c1,deed_2,,B1,cefrj:B1,efllex,deed,noun,lemma+pos,0.0,0.0,0.377,0.0,0.0,0.0122,1,B1,0.0,3.75
deem,verb,,oxford5000,c1,deem,,B2,cefrj:B2,efllex,deem,verb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.34
default,noun,,oxford5000,c1,default_1,,,,wordfreq,,,,,,,,,,,,,4.29
defect,noun,,oxford5000,c1,defect_1,,,,wordfreq,,,,,,,,,,,,,3.68
defensive,adjective,,oxford5000,c1,defensive_1,,,,efllex,defensive,adjective,lemma+pos,0.0,0.0,1.6375,0.0,0.0,0.2268,1,B1,0.0,4.38
deficiency,noun,,oxford5000,c1,deficiency,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,3.64
deficit,noun,,oxford5000,c1,deficit,C2,B2,cefrj:B2,efllex,deficit,noun,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,4.06
defy,verb,,oxford5000,c1,defy,,B2,cefrj:B2,efllex,defy,verb,lemma+pos,0.0,0.0,0.0,0.4103,0.0,0.0803,1,B2,1.0,3.42
delegate,noun,,oxford5000,c1,delegate_1,,B2,cefrj:B2,efllex,delegate,noun,lemma+pos,0.0,0.0,0.0,0.1311,0.1559,0.0629,2,B2,1.0,3.7
delegation,noun,,oxford5000,c1,delegation,,,,wordfreq,,,,,,,,,,,,,3.92
delicate,adjective,,oxford5000,c1,delicate,,B1,cefrj:B1,efllex,delicate,adjective,lemma+pos,0.0,0.0,0.5308,0.8294,42.5773,8.6447,11,B1,0.988,4.01
demographic,adjective,,octanove,,,C1,,,efllex,demographic,adjective,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.92
demon,noun,,oxford5000,c1,demon,,,,wordfreq,,,,,,,,,,,,,4.06
denial,noun,,oxford5000,c1,denial,,,,efllex,denial,noun,lemma+pos,0.0,0.0,0.0,0.8294,0.0,0.2268,1,B2,1.0,3.99
denounce,verb,,oxford5000,c1,denounce,C2,,,wordfreq,,,,,,,,,,,,,3.24
dense,adjective,,oxford5000,c1,dense,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.98
density,noun,,oxford5000,c1,density,,,,efllex,density,noun,lemma+pos,0.0,0.0,0.0,0.1311,0.0,0.0314,1,B2,1.0,4.33
dependence,noun,,oxford5000,c1,dependence,,,,efllex,dependence,noun,lemma+pos,0.0,0.0,0.0,0.0,0.1559,0.0314,1,C1,1.0,3.66
depict,verb,,oxford5000,c1,depict,C1,,,efllex,depict,verb,lemma+pos,0.0,0.0,0.0,0.0,0.8152,0.2268,1,C1,1.0,3.41
deploy,verb,,oxford5000,c1,deploy,,,,efllex,deploy,verb,lemma+pos,0.0,0.0,0.0,0.0,0.6091,0.0803,1,C1,1.0,3.7
deployment,noun,,oxford5000,c1,deployment,,,,wordfreq,,,,,,,,,,,,,3.91
deposit,verb,,oxford5000,c1,deposit_2,,B2,cefrj:B2,efllex,deposit,noun,lemma,0.0,0.2873,0.0,0.0,0.0,0.0121,1,A2,0.0,4.24
deprive,verb,,oxford5000,c1,deprive,,B1,cefrj:B1,wordfreq,,,,,,,,,,,,,3.19
deputy,noun,,oxford5000,c1,deputy,,B2,cefrj:B2,efllex,deputy,noun,lemma+pos,0.0,0.0,0.0,0.0,0.9605,0.0717,1,C1,1.0,4.55
descend,verb,,oxford5000,c1,descend,,B2,cefrj:B2,efllex,descend,verb,lemma+pos,0.0,0.0,1.5923,3.3735,0.9357,1.8598,5,B1,0.73,3.51
descent,noun,,oxford5000,c1,descent,C1,,,efllex,descent,noun,lemma+pos,0.0,0.0,0.0,3.3735,0.0,0.611,2,B2,1.0,3.93
designate,verb,,oxford5000,c1,designate_1,,,,wordfreq,,,,,,,,,,,,,3.37
desirable,adjective,,oxford5000,c1,desirable,,B2,cefrj:B2,efllex,desirable,adjective,lemma+pos,0.0,0.0,1.3622,0.0,0.9357,0.6949,2,B1,0.407,3.85
desktop,noun,,oxford5000,c1,desktop,,B2,cefrj:B2,wordfreq,,,,,,,,,,,,,3.93
destructive,adjective,,oxford5000,c1,destructive,,B1,cefrj:B1,efllex,destructive,adjective,lemma+pos,0.0,0.0,6.4485,0.0,0.1804,1.2192,4,B1,0.027,3.89
detain,verb,,oxford5000,c1,detain,,,,wordfreq,,,,,,,,,,,,,3.21
detection,noun,,oxford5000,c1,detection,,,,wordfreq,,,,,,,,,,,,,4.06
detention,noun,,oxford5000,c1,detention,,,,efllex,detention,noun,lemma+pos,0.0,0.5559,0.0,0.0,0.0,0.0812,1,A2,0.0,3.96
